LIST OF STRUCTURAL ATTRIBUTES (SA) AND THEIR CORRELATION WEIGHTS


The total number of SMILES: in active training set NsmsA=  36  in passive training set NsmsP=  35  in calibratuion set NsmsC=  36 Nact=  0 NactSFk=  0

Hydrogen filled graph (HFG) is used in the model
SMILES is used  in the model
ID is number of SA in the completed list of SAs
N1 is the number of SMILES in active training set with SA
N2 is the number of SMILES in passive training set with SA
N3 is the number of SMILES in calibration set with SA

The number of SMILES in active training set is 36
The number of SMILES in passive training set is 35
The number of SMILES in calibration set is 36


 SAk        : CW(SAk)    :        ID  :        NA  :        NP  :        NC  : DEFECT[SAk]:  Active 
c...3...C...:     -0.3049:         246:           5:           6:           6:      0.0038:  TRUE
c...3...c...:     -0.2434:         247:          34:          33:          34:      0.0000:  TRUE
c...4...(...:     -0.0347:         248:           2:           1:           1:      0.0139:  TRUE
c...4.......:     -0.0173:         249:           5:           1:           4:      0.0221:  TRUE
c...4...C...:         0.0:         250:           0:           0:           1:      1.0000:  FALSE
c...4...c...:      0.2159:         251:           5:           1:           4:      0.0221:  TRUE
c...C...#...:     -0.2899:         252:          26:          24:          22:      0.0031:  TRUE
c...C.......:      0.1212:         253:          36:          33:          35:      0.0011:  TRUE
c...C...C...:     -0.3431:         254:          10:           9:          13:      0.0065:  TRUE
c...C...N...:         0.0:         255:           1:           0:           0:      1.0000:  FALSE
c...F.......:         0.0:         256:           0:           0:           1:      1.0000:  FALSE
c...Cl......:         0.0:         257:           0:           3:           3:      1.0000:  FALSE
c...N...(...:      0.3924:         258:           7:          11:          10:      0.0086:  TRUE
c...N.......:      0.4212:         259:          17:          17:          20:      0.0031:  TRUE
c...N...1...:         0.0:         260:           1:           0:           1:      1.0000:  FALSE
c...N...2...:         0.0:         261:           0:           0:           1:      1.0000:  FALSE
c...N...C...:         0.0:         262:           1:           1:           0:      1.0000:  FALSE
c...O.......:         0.0:         263:           0:           1:           0:      1.0000:  FALSE
c...c...(...:     -0.0947:         264:          36:          35:          36:      0.0000:  TRUE
c...c.......:     -0.4048:         265:          36:          35:          36:      0.0000:  TRUE
c...c...1...:     -0.1094:         266:          20:          19:          18:      0.0019:  TRUE
c...c...2...:     -0.2626:         267:          27:          30:          28:      0.0025:  TRUE
c...c...3...:      0.2775:         268:          33:          29:          32:      0.0019:  TRUE
c...c...4...:     -0.4582:         269:           3:           1:           4:      0.0206:  TRUE
c...c...c...:     -0.3981:         270:          27:          29:          27:      0.0019:  TRUE
c...n...(...:     -0.0548:         271:          21:          26:          23:      0.0046:  TRUE
c...n...1...:      0.3668:         272:          26:          29:          26:      0.0026:  TRUE
c...n...2...:      0.2088:         273:          13:           9:          12:      0.0061:  TRUE
c...n...3...:     -0.1097:         274:           3:           2:           2:      0.0079:  TRUE
c...n...c...:      0.3956:         275:          18:          17:          16:      0.0022:  TRUE
c...s...1...:     -0.1228:         276:          15:          18:          14:      0.0053:  TRUE
c...s...2...:         0.0:         277:           0:           1:           0:      1.0000:  FALSE
c...s...3...:         0.0:         278:           0:           1:           1:      1.0000:  FALSE
c...s...c...:         0.0:         279:           1:           0:           0:      1.0000:  FALSE
[xyx10].....:         0.0:         280:           0:           0:           1:      1.0000:  FALSE
[xyx2]......:      0.0918:         281:           3:           5:           4:      0.0099:  TRUE
[xyx3]......:      0.0308:         282:           6:           5:           7:      0.0057:  TRUE
[xyx4]......:     -0.3352:         283:           6:           8:           5:      0.0094:  TRUE
[xyx5]......:     -0.2452:         284:           6:           3:           1:      0.0278:  TRUE
[xyx6]......:     -0.3356:         285:           7:           8:          11:      0.0085:  TRUE
[xyx7]......:     -0.4274:         286:           7:           2:           3:      0.0229:  TRUE
[xyx8]......:         0.0:         287:           1:           3:           3:      1.0000:  FALSE
[xyx9]......:         0.0:         288:           0:           1:           1:      1.0000:  FALSE
[xyyx0].....:     -0.4973:         289:          34:          35:          33:      0.0016:  TRUE
[xyyx1].....:      0.3565:         290:           2:           0:           3:      0.0333:  TRUE
[xyzyx0]....:     -0.4730:         291:          36:          33:          34:      0.0011:  TRUE
[xyzyx1]....:         0.0:         292:           0:           2:           1:      1.0000:  FALSE
[xyzyx2]....:         0.0:         293:           0:           0:           1:      1.0000:  FALSE
n...(.......:     -0.3962:         294:          22:          26:          25:      0.0036:  TRUE
n...(...2...:         0.0:         295:           0:           3:           3:      1.0000:  FALSE
n...(...3...:      0.4695:         296:           6:           6:           6:      0.0005:  TRUE
n...(...4...:         0.0:         297:           0:           1:           1:      1.0000:  FALSE
n...(...C...:      0.1391:         298:           2:           2:           0:      1.0000:  TRUE
n...(...N...:     -0.2127:         299:          14:          16:          13:      0.0045:  TRUE
n...(...O...:         0.0:         300:           1:           3:           5:      1.0000:  FALSE
n...(...c...:     -0.3747:         301:           8:          12:           8:      0.0086:  TRUE
n...........:      0.2657:         302:          36:          35:          36:      0.0000:  TRUE
n...1.......:      0.0037:         303:          26:          30:          26:      0.0033:  TRUE
n...1...c...:     -0.1041:         304:          26:          30:          26:      0.0033:  TRUE
n...2...(...:     -0.2662:         305:           7:           5:           7:      0.0054:  TRUE
n...2.......:      0.3871:         306:          19:          20:          18:      0.0025:  TRUE
n...2...c...:     -0.3764:         307:          12:          15:          12:      0.0049:  TRUE
